,4580,3736,3739,3735,3747,3746
2023-01-20,6.72,4.73,5.26,4.5,4.5,4.5
2023-01-21,2.24,2.24,4.87,4.5,4.5,4.5
2023-01-22,2.24,2.24,2.24,0.01,2.25,0.01
2023-01-23,6.72,2.24,10.91,2.25,2.25,0.01
2023-01-24,0.01,0.01,0.01,8.25,2.25,6.75
2023-01-25,0.01,2.24,0.01,0.01,2.25,0.01
2023-01-26,2.24,7.11,2.24,2.75,4.5,2.25
2023-01-27,2.24,2.24,2.24,0.01,2.55,0.01
2023-01-28,6.72,2.24,7.11,2.25,2.25,2.25
2023-01-29,0.01,0.01,0.01,0.01,0.01,2.25
2023-01-30,6.72,6.72,4.48,10.74,11.55,9.3
2023-01-31,6.72,3.02,4.48,9.0,9.0,6.75
2023-02-01,0.01,2.06,2.24,0.01,4.5,2.25
2023-02-02,0.01,0.01,0.01,0.01,0.01,0.01
2023-02-03,4.48,4.87,4.48,2.25,4.5,2.25
2023-02-04,4.48,2.24,6.72,4.5,4.5,4.5
2023-02-05,11.2,7.5,10.13,2.25,6.75,4.5
